camera,kf_distance,kf_velocity,ego_vx
1759902494237665176,5.9256,-0.0258,7.7882
1759902494275740826,5.9232,-0.0271,7.9077
1759902494322583006,5.9244,-0.025,8.0267
1759902494365760155,5.9253,-0.0233,8.1493
1759902494416266153,5.9259,-0.0218,8.3102
1759902494465045954,5.9264,-0.0205,8.4699
1759902494563023492,5.9262,-0.0186,8.7601
1759902494613783956,5.9267,-0.0172,8.8597
1759902494664751905,5.924,-0.0189,8.9099
1759902494716003794,5.9375,-0.006,8.9272
1759902494765009175,5.935,-0.0079,8.9316
1759902494809919444,5.9302,-0.0116,8.9168
1759902494860557735,5.9267,-0.0141,8.8959
1759902494905288092,5.9243,-0.0156,8.8726
1759902494956856205,5.9164,-0.0215,8.8513
1759902495006911715,5.9077,-0.0279,8.8289
1759902495050680290,5.9015,-0.0319,8.7827
1759902495126996716,5.8932,-0.0374,8.7441
1759902495173226108,5.8849,-0.0432,8.8694
1759902495223885189,5.8758,-0.0492,9.1782
1759902495283489810,5.8658,-0.0555,9.3232
1759902495321153816,5.8566,-0.0614,9.5146
1759902495370570901,5.8464,-0.0673,9.7555
1759902495410998521,5.8486,-0.0634,9.8315
1759902495464170479,5.8436,-0.0647,9.9848
